,Order,Stage,Start,Finish,Duration
4,45,1,32.655,34.986,2.3310013
7,45,2,43.095005,45.340004,2.244999
10,45,3,45.663,46.304996,0.6419983
12,45,4,46.304996,46.724995,0.41999817
16,45,5,48.622,49.251003,0.6290016
0,46,0,7.0,8.0,1.0
2,46,1,18.4,19.85,1.4500008
6,46,2,19.85,20.85,1.0
10,46,3,20.85,21.616001,0.76600075
11,46,4,21.616001,21.866001,0.25
0,47,0,12.0,13.0,1.0
2,47,1,28.550005,30.000006,1.4500008
6,47,2,30.000006,31.000006,1.0
9,47,3,31.071003,31.442003,0.3710003
12,47,4,31.442003,32.702003,1.2600002
14,47,5,32.702003,33.066,0.3639984
1,48,0,16.0,17.0,1.0
3,48,1,34.050003,35.500004,1.4500008
7,48,2,35.500004,36.500004,1.0
10,48,3,36.500004,37.148003,0.6479988
11,48,4,37.148003,37.648003,0.5
15,48,5,38.420002,40.642002,2.2220001
1,49,0,0.0,1.0,1.0
2,49,1,1.0,2.45,1.45
6,49,2,2.45,3.45,1.0
8,49,3,3.45,3.697,0.24699998
12,49,4,3.697,4.117,0.42000008
16,49,5,4.117,4.186,0.06899977
